Target: logvol | Layers 004| Heads 008| Epoch 000 | Train Loss 4177960605689.224121094 | Valid Loss 475008698147.170593262| lr 0.008000000 | time 228.004
Target: logvol | Layers 004| Heads 008| Epoch 001 | Train Loss 64025188646072.554687500 | Valid Loss 565614350878.808593750| lr 0.008000000 | time 213.679
Target: logvol | Layers 004| Heads 008| Epoch 002 | Train Loss 5273735265356727.000000000 | Valid Loss 35873556728834.570312500| lr 0.008000000 | time 217.144
Target: logvol | Layers 004| Heads 008| Epoch 003 | Train Loss 766178803546397.000000000 | Valid Loss 6464269657618.947265625| lr 0.008000000 | time 216.392
Target: logvol | Layers 004| Heads 008| Epoch 004 | Train Loss 1326964207888765.250000000 | Valid Loss 5791468356559097.000000000| lr 0.008000000 | time 216.662
Target: logvol | Layers 004| Heads 008| Epoch 005 | Train Loss 17483930482790.474609375 | Valid Loss 225939064459.385864258| lr 0.008000000 | time 219.711
Target: logvol | Layers 004| Heads 008| Epoch 006 | Train Loss 1383381962510685175808.000000000 | Valid Loss 391840779160769396736.000000000| lr 0.008000000 | time 220.572
Target: logvol | Layers 004| Heads 008| Epoch 007 | Train Loss 66684368518443777916928.000000000 | Valid Loss 61839758516705535459328.000000000| lr 0.008000000 | time 217.688
Target: logvol | Layers 004| Heads 008| Epoch 008 | Train Loss 67040259979218027282432.000000000 | Valid Loss 61839758516705535459328.000000000| lr 0.008000000 | time 217.909
Target: logvol | Layers 004| Heads 008| Epoch 009 | Train Loss 67128537729102335967232.000000000 | Valid Loss 61839758516705535459328.000000000| lr 0.008000000 | time 217.898
Target: logvol | Layers 004| Heads 008| Epoch 010 | Train Loss 292447713883930230784.000000000 | Valid Loss 305281660848370941952.000000000| lr 0.008000000 | time 226.302
Target: logvol | Layers 004| Heads 008| Epoch 011 | Train Loss 36565086963069918117888.000000000 | Valid Loss 39272668018636591464448.000000000| lr 0.008000000 | time 223.462
Target: logvol | Layers 004| Heads 008| Epoch 012 | Train Loss 37234419795165603430400.000000000 | Valid Loss 39272668018636591464448.000000000| lr 0.008000000 | time 228.058
Target: logvol | Layers 004| Heads 008| Epoch 013 | Train Loss 37213308788212123041792.000000000 | Valid Loss 39272668018636591464448.000000000| lr 0.008000000 | time 228.833
Target: logvol | Layers 004| Heads 008| Epoch 014 | Train Loss 37281099475485122887680.000000000 | Valid Loss 39272668018636591464448.000000000| lr 0.008000000 | time 221.339
